日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/17 07:00:00,85.333,85.358,85.333,85.347,85.429,85.434,85.422,85.433
2017/01/17 07:01:00,85.347,85.347,85.323,85.323,85.433,85.433,85.408,85.408
2017/01/17 07:02:00,85.323,85.335,85.321,85.335,85.408,85.415,85.406,85.408
2017/01/17 07:03:00,85.335,85.344,85.335,85.344,85.408,85.417,85.408,85.417
2017/01/17 07:04:00,85.344,85.347,85.337,85.346,85.417,85.417,85.399,85.407
2017/01/17 07:05:00,85.346,85.349,85.328,85.349,85.407,85.409,85.388,85.409
2017/01/17 07:06:00,85.349,85.356,85.342,85.356,85.409,85.416,85.402,85.416
2017/01/17 07:07:00,85.356,85.371,85.347,85.347,85.416,85.431,85.407,85.407
2017/01/17 07:08:00,85.347,85.35,85.339,85.339,85.407,85.41,85.399,85.399
2017/01/17 07:09:00,85.339,85.343,85.338,85.343,85.399,85.403,85.398,85.403
2017/01/17 07:10:00,85.343,85.344,85.339,85.342,85.403,85.404,85.399,85.401
2017/01/17 07:11:00,85.342,85.35,85.336,85.336,85.401,85.41,85.395,85.395
2017/01/17 07:12:00,85.336,85.344,85.324,85.339,85.395,85.397,85.364,85.364
2017/01/17 07:13:00,85.339,85.343,85.324,85.33,85.364,85.384,85.358,85.358
2017/01/17 07:14:00,85.33,85.354,85.33,85.33,85.358,85.382,85.358,85.381
2017/01/17 07:15:00,85.33,85.348,85.301,85.319,85.381,85.395,85.35,85.378
2017/01/17 07:16:00,85.319,85.34,85.319,85.34,85.378,85.398,85.367,85.367
2017/01/17 07:17:00,85.34,85.348,85.318,85.327,85.367,85.403,85.367,85.384
2017/01/17 07:18:00,85.327,85.337,85.325,85.336,85.384,85.396,85.384,85.395
2017/01/17 07:19:00,85.336,85.34,85.335,85.335,85.395,85.399,85.395,85.395
2017/01/17 07:20:00,85.335,85.335,85.325,85.33,85.395,85.395,85.384,85.39
2017/01/17 07:21:00,85.33,85.33,85.304,85.31,85.39,85.39,85.363,85.369
2017/01/17 07:22:00,85.31,85.312,85.303,85.304,85.369,85.369,85.361,85.361
2017/01/17 07:23:00,85.304,85.328,85.304,85.313,85.361,85.387,85.361,85.373
2017/01/17 07:24:00,85.313,85.363,85.311,85.358,85.373,85.397,85.362,85.365
2017/01/17 07:25:00,85.358,85.358,85.296,85.296,85.365,85.375,85.35,85.355
2017/01/17 07:26:00,85.296,85.323,85.296,85.316,85.355,85.38,85.355,85.371
2017/01/17 07:27:00,85.316,85.323,85.31,85.314,85.371,85.377,85.368,85.373
2017/01/17 07:28:00,85.314,85.322,85.307,85.307,85.373,85.382,85.366,85.367
2017/01/17 07:29:00,85.307,85.314,85.3,85.3,85.367,85.373,85.358,85.36
2017/01/17 07:30:00,85.3,85.303,85.289,85.291,85.36,85.363,85.349,85.351
2017/01/17 07:31:00,85.291,85.293,85.287,85.29,85.351,85.352,85.345,85.349
2017/01/17 07:32:00,85.29,85.298,85.277,85.286,85.349,85.35,85.321,85.349
2017/01/17 07:33:00,85.286,85.291,85.283,85.288,85.349,85.36,85.348,85.359
2017/01/17 07:34:00,85.288,85.29,85.285,85.288,85.359,85.362,85.358,85.361
2017/01/17 07:35:00,85.288,85.297,85.285,85.288,85.361,85.362,85.341,85.341
2017/01/17 07:36:00,85.288,85.293,85.27,85.273,85.341,85.341,85.316,85.332
2017/01/17 07:37:00,85.273,85.279,85.246,85.263,85.332,85.339,85.305,85.323
2017/01/17 07:38:00,85.263,85.282,85.243,85.281,85.323,85.338,85.302,85.309
2017/01/17 07:39:00,85.281,85.281,85.262,85.262,85.309,85.334,85.309,85.322
2017/01/17 07:40:00,85.262,85.307,85.259,85.306,85.322,85.328,85.301,85.313
2017/01/17 07:41:00,85.306,85.306,85.252,85.257,85.313,85.33,85.307,85.317
2017/01/17 07:42:00,85.257,85.267,85.245,85.249,85.317,85.325,85.305,85.308
2017/01/17 07:43:00,85.249,85.258,85.248,85.248,85.308,85.317,85.307,85.307
2017/01/17 07:44:00,85.248,85.263,85.246,85.25,85.307,85.322,85.306,85.309
