日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/24 07:00:00,121.315,121.325,121.308,121.316,121.391,121.404,121.356,121.356
2017/01/24 07:01:00,121.316,121.326,121.271,121.294,121.356,121.375,121.317,121.352
2017/01/24 07:02:00,121.294,121.311,121.291,121.305,121.352,121.383,121.352,121.363
2017/01/24 07:03:00,121.305,121.307,121.247,121.247,121.363,121.364,121.324,121.328
2017/01/24 07:04:00,121.247,121.273,121.247,121.273,121.328,121.333,121.312,121.315
2017/01/24 07:05:00,121.273,121.283,121.246,121.251,121.315,121.333,121.311,121.311
2017/01/24 07:06:00,121.251,121.265,121.223,121.247,121.311,121.32,121.265,121.287
2017/01/24 07:07:00,121.247,121.254,121.201,121.213,121.287,121.296,121.227,121.253
2017/01/24 07:08:00,121.213,121.228,121.201,121.221,121.253,121.279,121.244,121.273
2017/01/24 07:09:00,121.221,121.24,121.213,121.225,121.273,121.295,121.26,121.291
2017/01/24 07:10:00,121.225,121.252,121.221,121.231,121.291,121.293,121.234,121.237
2017/01/24 07:11:00,121.231,121.293,121.231,121.288,121.237,121.319,121.237,121.294
2017/01/24 07:12:00,121.288,121.324,121.288,121.314,121.294,121.33,121.294,121.32
2017/01/24 07:13:00,121.314,121.314,121.256,121.295,121.32,121.329,121.286,121.301
2017/01/24 07:14:00,121.295,121.325,121.285,121.325,121.301,121.331,121.291,121.331
2017/01/24 07:15:00,121.325,121.342,121.321,121.341,121.331,121.348,121.327,121.347
2017/01/24 07:16:00,121.341,121.36,121.34,121.353,121.347,121.366,121.346,121.359
2017/01/24 07:17:00,121.353,121.372,121.336,121.369,121.359,121.378,121.342,121.375
2017/01/24 07:18:00,121.369,121.373,121.352,121.352,121.375,121.379,121.358,121.358
2017/01/24 07:19:00,121.352,121.355,121.346,121.347,121.358,121.361,121.352,121.353
2017/01/24 07:20:00,121.347,121.347,121.333,121.34,121.353,121.353,121.339,121.346
2017/01/24 07:21:00,121.34,121.34,121.294,121.295,121.346,121.346,121.3,121.301
2017/01/24 07:22:00,121.295,121.32,121.288,121.301,121.301,121.326,121.294,121.307
2017/01/24 07:23:00,121.301,121.316,121.293,121.299,121.307,121.322,121.299,121.305
2017/01/24 07:24:00,121.299,121.321,121.298,121.314,121.305,121.327,121.304,121.32
2017/01/24 07:25:00,121.314,121.33,121.312,121.327,121.32,121.336,121.318,121.333
2017/01/24 07:26:00,121.327,121.364,121.326,121.359,121.333,121.37,121.332,121.365
2017/01/24 07:27:00,121.359,121.362,121.344,121.354,121.365,121.368,121.35,121.36
2017/01/24 07:28:00,121.354,121.354,121.333,121.336,121.36,121.36,121.339,121.342
2017/01/24 07:29:00,121.336,121.391,121.335,121.388,121.342,121.397,121.341,121.394
2017/01/24 07:30:00,121.388,121.388,121.369,121.376,121.394,121.394,121.375,121.382
2017/01/24 07:31:00,121.376,121.377,121.358,121.364,121.382,121.383,121.364,121.37
2017/01/24 07:32:00,121.364,121.374,121.355,121.374,121.37,121.38,121.361,121.38
2017/01/24 07:33:00,121.374,121.384,121.361,121.382,121.38,121.39,121.367,121.388
2017/01/24 07:34:00,121.382,121.408,121.382,121.399,121.388,121.414,121.388,121.405
2017/01/24 07:35:00,121.399,121.404,121.39,121.394,121.405,121.41,121.396,121.4
2017/01/24 07:36:00,121.394,121.397,121.386,121.387,121.4,121.403,121.392,121.393
2017/01/24 07:37:00,121.387,121.388,121.366,121.373,121.393,121.394,121.372,121.379
2017/01/24 07:38:00,121.373,121.395,121.37,121.376,121.379,121.401,121.376,121.382
2017/01/24 07:39:00,121.376,121.398,121.376,121.394,121.382,121.404,121.382,121.4
2017/01/24 07:40:00,121.394,121.397,121.356,121.358,121.4,121.403,121.362,121.364
2017/01/24 07:41:00,121.358,121.393,121.338,121.338,121.364,121.399,121.344,121.344
2017/01/24 07:42:00,121.338,121.34,121.285,121.286,121.344,121.346,121.291,121.292
2017/01/24 07:43:00,121.286,121.302,121.286,121.3,121.292,121.308,121.292,121.306
2017/01/24 07:44:00,121.3,121.3,121.294,121.3,121.306,121.306,121.3,121.306
2017/01/24 07:45:00,121.3,121.305,121.3,121.304,121.306,121.311,121.306,121.31
2017/01/24 07:46:00,121.304,121.312,121.294,121.306,121.31,121.318,121.3,121.312
