日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/16 07:00:00,121.176,121.362,121.176,121.309,121.286,121.472,121.286,121.419
2017/01/16 07:01:00,121.309,121.392,121.294,121.358,121.419,121.502,121.404,121.468
2017/01/16 07:02:00,121.358,121.476,121.319,121.398,121.468,121.586,121.419,121.508
2017/01/16 07:03:00,121.398,121.594,121.361,121.589,121.508,121.619,121.471,121.614
2017/01/16 07:04:00,121.589,121.59,121.454,121.59,121.614,121.687,121.564,121.687
2017/01/16 07:05:00,121.59,121.639,121.564,121.621,121.687,121.727,121.635,121.694
2017/01/16 07:06:00,121.621,121.63,121.603,121.617,121.694,121.694,121.655,121.669
2017/01/16 07:07:00,121.617,121.622,121.548,121.549,121.669,121.674,121.581,121.589
2017/01/16 07:08:00,121.549,121.59,121.549,121.574,121.589,121.63,121.588,121.614
2017/01/16 07:09:00,121.574,121.594,121.574,121.594,121.614,121.634,121.614,121.634
2017/01/16 07:10:00,121.594,121.627,121.594,121.626,121.634,121.634,121.613,121.632
2017/01/16 07:11:00,121.626,121.651,121.625,121.651,121.632,121.657,121.631,121.657
2017/01/16 07:12:00,121.651,121.651,121.568,121.601,121.657,121.657,121.574,121.607
2017/01/16 07:13:00,121.601,121.61,121.563,121.583,121.607,121.616,121.569,121.589
2017/01/16 07:14:00,121.583,121.613,121.529,121.612,121.589,121.619,121.535,121.618
2017/01/16 07:15:00,121.612,121.63,121.568,121.589,121.618,121.683,121.616,121.665
2017/01/16 07:16:00,121.589,121.627,121.585,121.627,121.665,121.686,121.633,121.633
2017/01/16 07:17:00,121.627,121.627,121.569,121.589,121.633,121.671,121.615,121.659
2017/01/16 07:18:00,121.589,121.603,121.553,121.558,121.659,121.659,121.583,121.625
2017/01/16 07:19:00,121.558,121.607,121.515,121.551,121.625,121.643,121.574,121.619
2017/01/16 07:20:00,121.551,121.6,121.523,121.599,121.619,121.646,121.561,121.605
2017/01/16 07:21:00,121.599,121.599,121.476,121.525,121.605,121.608,121.511,121.531
2017/01/16 07:22:00,121.525,121.549,121.483,121.537,121.531,121.607,121.508,121.607
2017/01/16 07:23:00,121.537,121.571,121.456,121.571,121.607,121.614,121.513,121.577
2017/01/16 07:24:00,121.571,121.571,121.488,121.517,121.577,121.587,121.499,121.523
2017/01/16 07:25:00,121.517,121.546,121.493,121.495,121.523,121.58,121.499,121.561
2017/01/16 07:26:00,121.495,121.522,121.483,121.514,121.561,121.561,121.516,121.52
2017/01/16 07:27:00,121.514,121.514,121.414,121.454,121.52,121.546,121.452,121.46
