����,�n�l(BID),���l(BID),���l(BID),�I�l(BID),�n�l(ASK),���l(ASK),���l(ASK),�I�l(ASK)
2017/01/03 08:17:00,84.43,84.432,84.416,84.421,84.5,84.502,84.478,84.483
2017/01/03 08:18:00,84.421,84.443,84.421,84.43,84.483,84.509,84.482,84.496
2017/01/03 08:19:00,84.43,84.437,84.415,84.425,84.496,84.501,84.476,84.478
2017/01/03 08:20:00,84.425,84.439,84.414,84.439,84.478,84.507,84.476,84.507
2017/01/03 08:21:00,84.439,84.454,84.425,84.445,84.507,84.51,84.488,84.499
2017/01/03 08:22:00,84.445,84.447,84.425,84.437,84.499,84.511,84.489,84.505
2017/01/03 08:23:00,84.437,84.46,84.43,84.441,84.505,84.517,84.479,84.499
2017/01/03 08:24:00,84.441,84.452,84.435,84.449,84.499,84.512,84.493,84.511
2017/01/03 08:25:00,84.449,84.452,84.435,84.448,84.511,84.515,84.498,84.512
2017/01/03 08:26:00,84.448,84.468,84.438,84.453,84.512,84.52,84.479,84.479
2017/01/03 08:27:00,84.453,84.461,84.441,84.456,84.479,84.512,84.475,84.508
2017/01/03 08:28:00,84.456,84.466,84.455,84.461,84.508,84.518,84.486,84.486
2017/01/03 08:29:00,84.461,84.467,84.453,84.462,84.486,84.493,84.48,84.49
2017/01/03 08:30:00,84.462,84.527,84.462,84.501,84.49,84.549,84.49,84.546
2017/01/03 08:31:00,84.501,84.558,84.5,84.549,84.546,84.587,84.526,84.556
2017/01/03 08:32:00,84.549,84.556,84.502,84.514,84.556,84.577,84.509,84.521
2017/01/03 08:33:00,84.514,84.55,84.492,84.493,84.521,84.567,84.516,84.538
2017/01/03 08:34:00,84.493,84.545,84.491,84.525,84.538,84.572,84.518,84.57
2017/01/03 08:35:00,84.525,84.549,84.511,84.533,84.57,84.582,84.538,84.578
2017/01/03 08:36:00,84.533,84.586,84.532,84.567,84.578,84.593,84.554,84.574
2017/01/03 08:37:00,84.567,84.597,84.539,84.578,84.574,84.62,84.565,84.585
2017/01/03 08:38:00,84.578,84.612,84.559,84.581,84.585,84.637,84.578,84.626
2017/01/03 08:39:00,84.581,84.593,84.552,84.576,84.626,84.631,84.581,84.583
2017/01/03 08:40:00,84.576,84.6,84.549,84.599,84.583,84.625,84.577,84.606
2017/01/03 08:41:00,84.599,84.62,84.58,84.597,84.606,84.634,84.595,84.604
2017/01/03 08:42:00,84.597,84.608,84.578,84.589,84.604,84.634,84.594,84.596
2017/01/03 08:43:00,84.589,84.605,84.552,84.565,84.596,84.629,84.575,84.61
2017/01/03 08:44:00,84.565,84.578,84.521,84.552,84.61,84.611,84.548,84.559
2017/01/03 08:45:00,84.552,84.562,84.551,84.553,84.559,84.569,84.558,84.56
2017/01/03 08:46:00,84.553,84.556,84.509,84.51,84.56,84.574,84.533,84.555
2017/01/03 08:47:00,84.51,84.562,84.51,84.562,84.555,84.569,84.533,84.569
2017/01/03 08:48:00,84.562,84.569,84.544,84.551,84.569,84.576,84.551,84.558
2017/01/03 08:49:00,84.551,84.552,84.533,84.535,84.558,84.559,84.54,84.542
2017/01/03 08:50:00,84.535,84.547,84.525,84.533,84.542,84.554,84.532,84.54
2017/01/03 08:51:00,84.533,84.533,84.488,84.488,84.54,84.54,84.495,84.495
2017/01/03 08:52:00,84.488,84.548,84.487,84.538,84.495,84.555,84.494,84.545
2017/01/03 08:53:00,84.538,84.541,84.535,84.54,84.545,84.548,84.542,84.547
2017/01/03 08:54:00,84.54,84.541,84.524,84.531,84.547,84.548,84.531,84.538
2017/01/03 08:55:00,84.531,84.535,84.527,84.528,84.538,84.542,84.534,84.535
2017/01/03 08:56:00,84.528,84.531,84.525,84.528,84.535,84.538,84.532,84.535
2017/01/03 08:57:00,84.528,84.531,84.521,84.53,84.535,84.538,84.528,84.537
2017/01/03 08:58:00,84.53,84.55,84.519,84.519,84.537,84.557,84.526,84.526
2017/01/03 08:59:00,84.519,84.527,84.484,84.517,84.526,84.534,84.491,84.524
2017/01/03 09:00:00,84.517,84.547,84.506,84.521,84.524,84.569,84.513,84.528
2017/01/03 09:01:00,84.521,84.535,84.491,84.519,84.528,84.542,84.498,84.526
2017/01/03 09:02:00,84.519,84.531,84.492,84.497,84.526,84.538,84.499,84.504
2017/01/03 09:03:00,84.497,84.515,84.493,84.501,84.504,84.522,84.5,84.508
2017/01/03 09:04:00,84.501,84.521,84.494,84.516,84.508,84.528,84.501,84.523
2017/01/03 09:05:00,84.516,84.54,84.505,84.519,84.523,84.547,84.512,84.526
2017/01/03 09:06:00,84.519,84.519,84.497,84.515,84.526,84.526,84.504,84.522
2017/01/03 09:07:00,84.515,84.541,84.515,84.532,84.522,84.548,84.522,84.539
2017/01/03 09:08:00,84.532,84.545,84.524,84.531,84.539,84.552,84.531,84.538
2017/01/03 09:09:00,84.531,84.54,84.514,84.532,84.538,84.547,84.521,84.539
2017/01/03 09:10:00,84.532,84.532,84.514,84.518,84.539,84.539,84.521,84.525
2017/01/03 09:11:00,84.518,84.529,84.514,84.528,84.525,84.536,84.521,84.535
2017/01/03 09:12:00,84.528,84.541,84.527,84.532,84.535,84.548,84.534,84.539
2017/01/03 09:13:00,84.532,84.537,84.531,84.532,84.539,84.544,84.538,84.539
2017/01/03 09:14:00,84.532,84.535,84.524,84.53,84.539,84.542,84.531,84.537
2017/01/03 09:15:00,84.53,84.547,84.528,84.54,84.537,84.554,84.535,84.547
2017/01/03 09:16:00,84.54,84.542,84.512,84.52,84.547,84.549,84.519,84.527
2017/01/03 09:17:00,84.52,84.536,84.516,84.527,84.527,84.543,84.523,84.534
2017/01/03 09:18:00,84.527,84.544,84.526,84.531,84.534,84.551,84.533,84.538
2017/01/03 09:19:00,84.531,84.55,84.518,84.519,84.538,84.557,84.525,84.526
2017/01/03 09:20:00,84.519,84.528,84.519,84.527,84.526,84.535,84.526,84.534
2017/01/03 09:21:00,84.527,84.542,84.525,84.539,84.534,84.549,84.532,84.546
2017/01/03 09:22:00,84.539,84.549,84.519,84.53,84.546,84.556,84.526,84.537
2017/01/03 09:23:00,84.53,84.541,84.516,84.535,84.537,84.548,84.523,84.542
2017/01/03 09:24:00,84.535,84.544,84.531,84.537,84.542,84.551,84.538,84.544
2017/01/03 09:25:00,84.537,84.542,84.526,84.533,84.544,84.549,84.533,84.54
2017/01/03 09:26:00,84.533,84.546,84.528,84.538,84.54,84.553,84.535,84.545
2017/01/03 09:27:00,84.538,84.557,84.528,84.538,84.545,84.564,84.535,84.545
2017/01/03 09:28:00,84.538,84.544,84.538,84.544,84.545,84.551,84.545,84.551
2017/01/03 09:29:00,84.544,84.548,84.54,84.544,84.551,84.555,84.547,84.551
2017/01/03 09:30:00,84.544,84.547,84.541,84.541,84.551,84.554,84.548,84.548
2017/01/03 09:31:00,84.541,84.541,84.527,84.532,84.548,84.548,84.534,84.539
2017/01/03 09:32:00,84.532,84.539,84.53,84.538,84.539,84.546,84.537,84.545
2017/01/03 09:33:00,84.538,84.547,84.537,84.539,84.545,84.554,84.544,84.546
2017/01/03 09:34:00,84.539,84.541,84.537,84.537,84.546,84.548,84.544,84.544
2017/01/03 09:35:00,84.537,84.559,84.536,84.554,84.544,84.566,84.543,84.561
2017/01/03 09:36:00,84.554,84.565,84.546,84.554,84.561,84.572,84.553,84.561
2017/01/03 09:37:00,84.554,84.558,84.518,84.529,84.561,84.565,84.525,84.536
2017/01/03 09:38:00,84.529,84.547,84.528,84.547,84.536,84.554,84.535,84.554
2017/01/03 09:39:00,84.547,84.548,84.532,84.542,84.554,84.555,84.539,84.549
2017/01/03 09:40:00,84.542,84.553,84.538,84.539,84.549,84.56,84.545,84.546
2017/01/03 09:41:00,84.539,84.548,84.535,84.535,84.546,84.555,84.542,84.542
2017/01/03 09:42:00,84.535,84.549,84.535,84.544,84.542,84.556,84.542,84.551
2017/01/03 09:43:00,84.544,84.547,84.532,84.539,84.551,84.554,84.539,84.546
2017/01/03 09:44:00,84.539,84.55,84.539,84.542,84.546,84.557,84.546,84.549
2017/01/03 09:45:00,84.542,84.568,84.542,84.555,84.549,84.575,84.549,84.562
2017/01/03 09:46:00,84.555,84.555,84.538,84.541,84.562,84.562,84.545,84.548
2017/01/03 09:47:00,84.541,84.553,84.536,84.553,84.548,84.56,84.543,84.56
2017/01/03 09:48:00,84.553,84.559,84.549,84.551,84.56,84.566,84.556,84.558
2017/01/03 09:49:00,84.551,84.553,84.544,84.544,84.558,84.56,84.551,84.551
2017/01/03 09:50:00,84.544,84.545,84.532,84.541,84.551,84.552,84.539,84.548
2017/01/03 09:51:00,84.541,84.541,84.528,84.53,84.548,84.548,84.535,84.537
2017/01/03 09:52:00,84.53,84.533,84.523,84.526,84.537,84.54,84.53,84.533
2017/01/03 09:53:00,84.526,84.533,84.523,84.53,84.533,84.54,84.53,84.537
2017/01/03 09:54:00,84.53,84.53,84.493,84.499,84.537,84.537,84.5,84.506
2017/01/03 09:55:00,84.499,84.505,84.481,84.5,84.506,84.512,84.488,84.507
2017/01/03 09:56:00,84.5,84.5,84.482,84.488,84.507,84.507,84.489,84.495
2017/01/03 09:57:00,84.488,84.496,84.484,84.49,84.495,84.503,84.491,84.497
2017/01/03 09:58:00,84.49,84.493,84.479,84.48,84.497,84.5,84.486,84.487
2017/01/03 09:59:00,84.48,84.48,84.436,84.438,84.487,84.487,84.443,84.445
2017/01/03 10:00:00,84.438,84.463,84.437,84.449,84.445,84.47,84.444,84.456
2017/01/03 10:01:00,84.449,84.465,84.442,84.457,84.456,84.472,84.449,84.464
2017/01/03 10:02:00,84.457,84.465,84.447,84.46,84.464,84.472,84.454,84.467
2017/01/03 10:03:00,84.46,84.467,84.443,84.454,84.467,84.474,84.45,84.461
2017/01/03 10:04:00,84.454,84.468,84.451,84.457,84.461,84.475,84.458,84.464
2017/01/03 10:05:00,84.457,84.479,84.452,84.468,84.464,84.486,84.459,84.475
2017/01/03 10:06:00,84.468,84.47,84.459,84.468,84.475,84.477,84.466,84.475
2017/01/03 10:07:00,84.468,84.486,84.465,84.479,84.475,84.493,84.472,84.486
2017/01/03 10:08:00,84.479,84.491,84.476,84.481,84.486,84.498,84.483,84.488
2017/01/03 10:09:00,84.481,84.487,84.473,84.487,84.488,84.494,84.48,84.494
2017/01/03 10:10:00,84.487,84.487,84.464,84.464,84.494,84.494,84.471,84.471
2017/01/03 10:11:00,84.464,84.482,84.464,84.471,84.471,84.489,84.471,84.478
2017/01/03 10:12:00,84.471,84.477,84.464,84.464,84.478,84.484,84.471,84.471
2017/01/03 10:13:00,84.464,84.471,84.454,84.455,84.471,84.478,84.461,84.462
2017/01/03 10:14:00,84.455,84.474,84.455,84.466,84.462,84.481,84.462,84.473
2017/01/03 10:15:00,84.466,84.469,84.437,84.438,84.473,84.476,84.444,84.445
2017/01/03 10:16:00,84.438,84.495,84.424,84.494,84.445,84.502,84.431,84.501
2017/01/03 10:17:00,84.494,84.51,84.486,84.509,84.501,84.517,84.493,84.516
2017/01/03 10:18:00,84.509,84.52,84.5,84.518,84.516,84.527,84.507,84.525
2017/01/03 10:19:00,84.518,84.522,84.501,84.51,84.525,84.529,84.508,84.517
2017/01/03 10:20:00,84.51,84.531,84.509,84.511,84.517,84.538,84.516,84.518
2017/01/03 10:21:00,84.511,84.526,84.511,84.525,84.518,84.533,84.518,84.532
2017/01/03 10:22:00,84.525,84.533,84.517,84.523,84.532,84.54,84.524,84.53
2017/01/03 10:23:00,84.523,84.529,84.521,84.528,84.53,84.536,84.528,84.535
2017/01/03 10:24:00,84.528,84.535,84.526,84.527,84.535,84.542,84.533,84.534
2017/01/03 10:25:00,84.527,84.529,84.511,84.526,84.534,84.536,84.518,84.533
2017/01/03 10:26:00,84.526,84.533,84.514,84.514,84.533,84.54,84.521,84.521
2017/01/03 10:27:00,84.514,84.517,84.507,84.51,84.521,84.524,84.514,84.517
2017/01/03 10:28:00,84.51,84.515,84.499,84.515,84.517,84.522,84.506,84.522
2017/01/03 10:29:00,84.515,84.515,84.501,84.506,84.522,84.522,84.508,84.513
2017/01/03 10:30:00,84.506,84.527,84.506,84.516,84.513,84.534,84.513,84.523
2017/01/03 10:31:00,84.516,84.516,84.497,84.515,84.523,84.523,84.504,84.522
2017/01/03 10:32:00,84.515,84.515,84.488,84.488,84.522,84.522,84.495,84.495
2017/01/03 10:33:00,84.488,84.505,84.48,84.497,84.495,84.512,84.487,84.504
2017/01/03 10:34:00,84.497,84.506,84.489,84.504,84.504,84.513,84.496,84.511
2017/01/03 10:35:00,84.504,84.504,84.482,84.487,84.511,84.511,84.489,84.494
2017/01/03 10:36:00,84.487,84.487,84.476,84.485,84.494,84.494,84.483,84.492
2017/01/03 10:37:00,84.485,84.491,84.485,84.491,84.492,84.498,84.492,84.498
2017/01/03 10:38:00,84.491,84.511,84.491,84.499,84.498,84.518,84.498,84.506
2017/01/03 10:39:00,84.499,84.513,84.499,84.513,84.506,84.52,84.506,84.52
2017/01/03 10:40:00,84.513,84.513,84.492,84.493,84.52,84.52,84.499,84.5
2017/01/03 10:41:00,84.493,84.516,84.49,84.515,84.5,84.523,84.497,84.522
2017/01/03 10:42:00,84.515,84.522,84.509,84.519,84.522,84.529,84.516,84.526
2017/01/03 10:43:00,84.519,84.519,84.516,84.518,84.526,84.526,84.523,84.525
2017/01/03 10:44:00,84.518,84.524,84.499,84.504,84.525,84.554,84.519,84.554
2017/01/03 10:45:00,84.504,84.559,84.493,84.55,84.554,84.572,84.512,84.557
2017/01/03 10:46:00,84.55,84.606,84.55,84.591,84.557,84.613,84.557,84.598
2017/01/03 10:47:00,84.591,84.595,84.568,84.58,84.598,84.602,84.575,84.587
2017/01/03 10:48:00,84.58,84.614,84.574,84.607,84.587,84.621,84.581,84.614
2017/01/03 10:49:00,84.607,84.62,84.601,84.618,84.614,84.627,84.608,84.625
2017/01/03 10:50:00,84.618,84.643,84.609,84.641,84.625,84.65,84.616,84.648
2017/01/03 10:51:00,84.641,84.671,84.63,84.67,84.648,84.678,84.637,84.677
2017/01/03 10:52:00,84.67,84.67,84.648,84.662,84.677,84.677,84.655,84.669
2017/01/03 10:53:00,84.662,84.665,84.647,84.65,84.669,84.672,84.654,84.657
2017/01/03 10:54:00,84.65,84.664,84.632,84.662,84.657,84.671,84.639,84.669
2017/01/03 10:55:00,84.662,84.663,84.637,84.649,84.669,84.67,84.644,84.656
2017/01/03 10:56:00,84.649,84.675,84.648,84.668,84.656,84.682,84.655,84.675
2017/01/03 10:57:00,84.668,84.737,84.668,84.722,84.675,84.744,84.675,84.729
2017/01/03 10:58:00,84.722,84.725,84.701,84.714,84.729,84.732,84.708,84.721
2017/01/03 10:59:00,84.714,84.722,84.697,84.71,84.721,84.729,84.704,84.717
2017/01/03 11:00:00,84.71,84.725,84.699,84.703,84.717,84.732,84.706,84.71
2017/01/03 11:01:00,84.703,84.714,84.687,84.706,84.71,84.721,84.694,84.713
2017/01/03 11:02:00,84.706,84.706,84.678,84.705,84.713,84.713,84.685,84.712
2017/01/03 11:03:00,84.705,84.718,84.701,84.705,84.712,84.725,84.708,84.712
2017/01/03 11:04:00,84.705,84.724,84.696,84.715,84.712,84.731,84.703,84.722
2017/01/03 11:05:00,84.715,84.722,84.709,84.709,84.722,84.729,84.716,84.716
2017/01/03 11:06:00,84.709,84.725,84.708,84.714,84.716,84.732,84.715,84.721
2017/01/03 11:07:00,84.714,84.725,84.708,84.725,84.721,84.732,84.715,84.732
2017/01/03 11:08:00,84.725,84.742,84.717,84.723,84.732,84.749,84.724,84.73
2017/01/03 11:09:00,84.723,84.728,84.718,84.718,84.73,84.735,84.725,84.725
2017/01/03 11:10:00,84.718,84.72,84.703,84.703,84.725,84.727,84.71,84.71
2017/01/03 11:11:00,84.703,84.708,84.698,84.701,84.71,84.715,84.705,84.708
2017/01/03 11:12:00,84.701,84.717,84.7,84.711,84.708,84.724,84.707,84.718
2017/01/03 11:13:00,84.711,84.748,84.711,84.743,84.718,84.755,84.718,84.75
2017/01/03 11:14:00,84.743,84.768,84.743,84.754,84.75,84.775,84.75,84.761
2017/01/03 11:15:00,84.754,84.779,84.714,84.73,84.761,84.786,84.721,84.737
2017/01/03 11:16:00,84.73,84.746,84.727,84.737,84.737,84.753,84.734,84.744
2017/01/03 11:17:00,84.737,84.768,84.734,84.761,84.744,84.775,84.741,84.768
2017/01/03 11:18:00,84.761,84.765,84.755,84.761,84.768,84.772,84.762,84.768
2017/01/03 11:19:00,84.761,84.781,84.761,84.777,84.768,84.788,84.768,84.784
2017/01/03 11:20:00,84.777,84.777,84.761,84.768,84.784,84.784,84.768,84.775
2017/01/03 11:21:00,84.768,84.768,84.755,84.757,84.775,84.775,84.762,84.764
2017/01/03 11:22:00,84.757,84.761,84.751,84.755,84.764,84.768,84.758,84.762
2017/01/03 11:23:00,84.755,84.758,84.746,84.753,84.762,84.765,84.753,84.76
2017/01/03 11:24:00,84.753,84.758,84.724,84.732,84.76,84.765,84.731,84.739
2017/01/03 11:25:00,84.732,84.741,84.73,84.73,84.739,84.748,84.737,84.737
2017/01/03 11:26:00,84.73,84.746,84.73,84.74,84.737,84.753,84.737,84.747
2017/01/03 11:27:00,84.74,84.761,84.739,84.757,84.747,84.768,84.746,84.764
2017/01/03 11:28:00,84.757,84.763,84.757,84.763,84.764,84.77,84.764,84.77
2017/01/03 11:29:00,84.763,84.776,84.763,84.771,84.77,84.783,84.77,84.778
2017/01/03 11:30:00,84.771,84.786,84.771,84.78,84.778,84.793,84.778,84.787
2017/01/03 11:31:00,84.78,84.781,84.758,84.761,84.787,84.788,84.765,84.768
2017/01/03 11:32:00,84.761,84.777,84.752,84.767,84.768,84.784,84.759,84.774
2017/01/03 11:33:00,84.767,84.772,84.763,84.772,84.774,84.779,84.77,84.779
2017/01/03 11:34:00,84.772,84.779,84.768,84.779,84.779,84.786,84.775,84.786
2017/01/03 11:35:00,84.779,84.785,84.774,84.778,84.786,84.792,84.781,84.785
