日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/17 07:00:00,120.969,121.006,120.969,121,121.079,121.116,121.079,121.11
2017/01/17 07:01:00,121,121.006,120.984,120.984,121.11,121.116,121.094,121.094
2017/01/17 07:02:00,120.984,121.022,120.984,121.022,121.094,121.114,121.094,121.114
2017/01/17 07:03:00,121.022,121.026,121.008,121.026,121.114,121.124,121.105,121.109
2017/01/17 07:04:00,121.026,121.044,121.014,121.038,121.109,121.11,121.081,121.105
2017/01/17 07:05:00,121.038,121.047,121.01,121.04,121.105,121.105,121.07,121.102
2017/01/17 07:06:00,121.04,121.041,121.027,121.027,121.102,121.104,121.095,121.096
2017/01/17 07:07:00,121.027,121.028,121.019,121.021,121.096,121.096,121.075,121.075
2017/01/17 07:08:00,121.021,121.03,121.02,121.03,121.075,121.077,121.07,121.072
2017/01/17 07:09:00,121.03,121.03,121.021,121.021,121.072,121.078,121.065,121.065
2017/01/17 07:10:00,121.021,121.049,121.021,121.049,121.065,121.065,121.046,121.055
2017/01/17 07:11:00,121.049,121.051,121.003,121.003,121.055,121.085,121.055,121.074
2017/01/17 07:12:00,121.003,121.055,120.996,121.039,121.074,121.074,121.035,121.045
2017/01/17 07:13:00,121.039,121.057,121.038,121.054,121.045,121.063,121.044,121.06
2017/01/17 07:14:00,121.054,121.054,121.045,121.046,121.06,121.06,121.051,121.052
2017/01/17 07:15:00,121.046,121.048,120.987,121.032,121.052,121.088,121.025,121.038
2017/01/17 07:16:00,121.032,121.061,121.031,121.052,121.038,121.067,121.037,121.058
2017/01/17 07:17:00,121.052,121.068,121.001,121.003,121.058,121.091,121.039,121.069
2017/01/17 07:18:00,121.003,121.07,121.003,121.03,121.069,121.1,121.06,121.1
2017/01/17 07:19:00,121.03,121.065,121.028,121.035,121.1,121.102,121.067,121.102
2017/01/17 07:20:00,121.035,121.057,121.023,121.056,121.102,121.102,121.062,121.062
2017/01/17 07:21:00,121.056,121.056,121.023,121.023,121.062,121.094,121.062,121.094
2017/01/17 07:22:00,121.023,121.052,121.018,121.049,121.094,121.094,121.054,121.055
2017/01/17 07:23:00,121.049,121.049,121.014,121.014,121.055,121.083,121.051,121.082
2017/01/17 07:24:00,121.014,121.048,121.014,121.045,121.082,121.086,121.051,121.051
2017/01/17 07:25:00,121.045,121.048,121.014,121.046,121.051,121.08,121.05,121.052
2017/01/17 07:26:00,121.046,121.101,121.016,121.101,121.052,121.114,121.051,121.107
2017/01/17 07:27:00,121.101,121.101,121.08,121.08,121.107,121.107,121.086,121.086
2017/01/17 07:28:00,121.08,121.08,121.039,121.072,121.086,121.11,121.076,121.078
2017/01/17 07:29:00,121.072,121.073,121.04,121.069,121.078,121.107,121.075,121.075
2017/01/17 07:30:00,121.069,121.069,121.02,121.024,121.075,121.096,121.045,121.092
2017/01/17 07:31:00,121.024,121.076,121.023,121.072,121.092,121.102,121.061,121.078
2017/01/17 07:32:00,121.072,121.08,121.016,121.028,121.078,121.108,121.063,121.1
2017/01/17 07:33:00,121.028,121.03,121.023,121.023,121.1,121.103,121.096,121.096
2017/01/17 07:34:00,121.023,121.036,121.023,121.025,121.096,121.107,121.096,121.1
2017/01/17 07:35:00,121.025,121.057,121.01,121.052,121.1,121.103,121.058,121.058
2017/01/17 07:36:00,121.052,121.053,121.026,121.052,121.058,121.059,121.032,121.058
2017/01/17 07:37:00,121.052,121.052,121.024,121.026,121.058,121.058,121.03,121.032
2017/01/17 07:38:00,121.026,121.037,121.023,121.029,121.032,121.043,121.029,121.035
2017/01/17 07:39:00,121.029,121.031,121.018,121.026,121.035,121.037,121.024,121.032
2017/01/17 07:40:00,121.026,121.026,121.012,121.015,121.032,121.032,121.018,121.021
2017/01/17 07:41:00,121.015,121.015,121.004,121.007,121.021,121.021,121.01,121.013
2017/01/17 07:42:00,121.007,121.011,121.002,121.004,121.013,121.017,121.008,121.01
2017/01/17 07:43:00,121.004,121.005,120.986,120.994,121.01,121.011,120.992,121
2017/01/17 07:44:00,120.994,121.003,120.98,120.988,121,121.009,120.986,120.994
2017/01/17 07:45:00,120.988,121,120.988,120.991,120.994,121.006,120.994,120.997
2017/01/17 07:46:00,120.991,120.995,120.976,120.982,120.997,121.001,120.982,120.988
2017/01/17 07:47:00,120.982,120.985,120.974,120.978,120.988,120.991,120.98,120.984
