日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/13 07:00:00,121.692,121.718,121.692,121.717,121.786,121.81,121.768,121.804
2017/01/13 07:01:00,121.717,121.75,121.693,121.693,121.804,121.818,121.789,121.792
2017/01/13 07:02:00,121.693,121.738,121.693,121.731,121.792,121.804,121.775,121.78
2017/01/13 07:03:00,121.731,121.769,121.717,121.752,121.78,121.827,121.768,121.827
2017/01/13 07:04:00,121.752,121.768,121.74,121.746,121.827,121.852,121.824,121.833
2017/01/13 07:05:00,121.746,121.769,121.74,121.768,121.833,121.833,121.78,121.793
2017/01/13 07:06:00,121.768,121.774,121.75,121.753,121.793,121.799,121.775,121.778
2017/01/13 07:07:00,121.753,121.753,121.7,121.707,121.778,121.778,121.736,121.763
2017/01/13 07:08:00,121.707,121.707,121.689,121.69,121.763,121.763,121.729,121.73
2017/01/13 07:09:00,121.69,121.702,121.686,121.698,121.73,121.746,121.73,121.741
2017/01/13 07:10:00,121.698,121.72,121.698,121.716,121.741,121.741,121.704,121.722
2017/01/13 07:11:00,121.716,121.731,121.693,121.731,121.722,121.767,121.722,121.737
2017/01/13 07:12:00,121.731,121.732,121.682,121.682,121.737,121.775,121.725,121.752
2017/01/13 07:13:00,121.682,121.71,121.657,121.709,121.752,121.756,121.71,121.715
2017/01/13 07:14:00,121.709,121.714,121.709,121.711,121.715,121.72,121.715,121.717
2017/01/13 07:15:00,121.711,121.712,121.647,121.68,121.717,121.732,121.685,121.686
2017/01/13 07:16:00,121.68,121.683,121.645,121.653,121.686,121.723,121.683,121.72
2017/01/13 07:17:00,121.653,121.681,121.65,121.679,121.72,121.72,121.684,121.685
2017/01/13 07:18:00,121.679,121.68,121.647,121.676,121.685,121.716,121.682,121.682
2017/01/13 07:19:00,121.676,121.688,121.649,121.686,121.682,121.718,121.678,121.692
2017/01/13 07:20:00,121.686,121.704,121.667,121.693,121.692,121.737,121.692,121.699
2017/01/13 07:21:00,121.693,121.696,121.682,121.685,121.699,121.702,121.688,121.691
2017/01/13 07:22:00,121.685,121.723,121.672,121.714,121.691,121.745,121.691,121.72
2017/01/13 07:23:00,121.714,121.746,121.692,121.722,121.72,121.784,121.698,121.728
2017/01/13 07:24:00,121.722,121.738,121.719,121.723,121.728,121.744,121.725,121.729
2017/01/13 07:25:00,121.723,121.733,121.713,121.719,121.729,121.739,121.719,121.725
