日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/23 07:00:00,85.671,85.778,85.669,85.757,85.821,85.928,85.819,85.907
2017/01/23 07:01:00,85.757,85.797,85.75,85.76,85.907,85.917,85.892,85.91
2017/01/23 07:02:00,85.76,85.792,85.76,85.79,85.91,85.911,85.872,85.88
2017/01/23 07:03:00,85.79,85.801,85.779,85.797,85.88,85.891,85.869,85.887
2017/01/23 07:04:00,85.797,85.806,85.793,85.806,85.887,85.896,85.883,85.896
2017/01/23 07:05:00,85.806,85.816,85.772,85.794,85.896,85.906,85.862,85.884
2017/01/23 07:06:00,85.794,85.805,85.781,85.796,85.884,85.895,85.871,85.886
2017/01/23 07:07:00,85.796,85.806,85.791,85.794,85.886,85.896,85.881,85.884
2017/01/23 07:08:00,85.794,85.8,85.782,85.785,85.884,85.89,85.872,85.875
2017/01/23 07:09:00,85.785,85.794,85.771,85.786,85.875,85.884,85.861,85.876
2017/01/23 07:10:00,85.786,85.819,85.779,85.819,85.876,85.883,85.823,85.836
2017/01/23 07:11:00,85.819,85.826,85.819,85.82,85.836,85.843,85.836,85.837
2017/01/23 07:12:00,85.82,85.829,85.82,85.826,85.837,85.846,85.837,85.843
2017/01/23 07:13:00,85.826,85.827,85.814,85.819,85.843,85.844,85.831,85.836
2017/01/23 07:14:00,85.819,85.837,85.819,85.828,85.836,85.854,85.836,85.845
2017/01/23 07:15:00,85.828,85.833,85.821,85.821,85.845,85.85,85.838,85.838
2017/01/23 07:16:00,85.821,85.823,85.819,85.822,85.838,85.84,85.836,85.839
2017/01/23 07:17:00,85.822,85.831,85.807,85.809,85.839,85.848,85.824,85.826
2017/01/23 07:18:00,85.809,85.821,85.803,85.819,85.826,85.838,85.82,85.836
2017/01/23 07:19:00,85.819,85.837,85.803,85.823,85.836,85.854,85.82,85.84
2017/01/23 07:20:00,85.823,85.84,85.823,85.833,85.84,85.857,85.84,85.85
2017/01/23 07:21:00,85.833,85.833,85.823,85.828,85.85,85.85,85.84,85.845
2017/01/23 07:22:00,85.828,85.834,85.81,85.812,85.845,85.851,85.827,85.829
2017/01/23 07:23:00,85.812,85.838,85.802,85.838,85.829,85.855,85.819,85.855
2017/01/23 07:24:00,85.838,85.84,85.801,85.809,85.855,85.857,85.818,85.826
2017/01/23 07:25:00,85.809,85.811,85.786,85.795,85.826,85.828,85.803,85.812
2017/01/23 07:26:00,85.795,85.798,85.785,85.791,85.812,85.815,85.802,85.808
2017/01/23 07:27:00,85.791,85.804,85.789,85.791,85.808,85.821,85.806,85.808
2017/01/23 07:28:00,85.791,85.8,85.79,85.795,85.808,85.817,85.807,85.812
2017/01/23 07:29:00,85.795,85.796,85.792,85.792,85.812,85.813,85.809,85.809
2017/01/23 07:30:00,85.792,85.792,85.756,85.785,85.809,85.809,85.773,85.802
2017/01/23 07:31:00,85.785,85.802,85.779,85.797,85.802,85.819,85.796,85.814
2017/01/23 07:32:00,85.797,85.797,85.785,85.793,85.814,85.814,85.802,85.81
2017/01/23 07:33:00,85.793,85.81,85.784,85.808,85.81,85.827,85.801,85.825
2017/01/23 07:34:00,85.808,85.814,85.787,85.789,85.825,85.831,85.804,85.806
2017/01/23 07:35:00,85.789,85.799,85.789,85.793,85.806,85.816,85.806,85.81
2017/01/23 07:36:00,85.793,85.796,85.793,85.796,85.81,85.83,85.81,85.826
2017/01/23 07:37:00,85.796,85.805,85.793,85.793,85.826,85.839,85.824,85.827
2017/01/23 07:38:00,85.793,85.796,85.793,85.794,85.827,85.829,85.827,85.828
2017/01/23 07:39:00,85.794,85.807,85.794,85.807,85.828,85.841,85.828,85.84
2017/01/23 07:40:00,85.807,85.807,85.802,85.803,85.84,85.84,85.836,85.837
2017/01/23 07:41:00,85.803,85.807,85.802,85.806,85.837,85.84,85.836,85.84
2017/01/23 07:42:00,85.806,85.806,85.804,85.804,85.84,85.84,85.838,85.838
2017/01/23 07:43:00,85.804,85.813,85.804,85.808,85.838,85.847,85.838,85.841
2017/01/23 07:44:00,85.808,85.814,85.806,85.81,85.841,85.848,85.84,85.844
2017/01/23 07:45:00,85.81,85.82,85.81,85.816,85.844,85.854,85.844,85.85
2017/01/23 07:46:00,85.816,85.838,85.81,85.815,85.85,85.868,85.835,85.847
2017/01/23 07:47:00,85.815,85.827,85.815,85.826,85.847,85.86,85.846,85.859
2017/01/23 07:48:00,85.826,85.832,85.822,85.823,85.859,85.865,85.847,85.856
2017/01/23 07:49:00,85.823,85.834,85.823,85.833,85.856,85.868,85.856,85.867
2017/01/23 07:50:00,85.833,85.836,85.821,85.826,85.867,85.87,85.849,85.859
2017/01/23 07:51:00,85.826,85.832,85.826,85.829,85.859,85.865,85.859,85.863
2017/01/23 07:52:00,85.829,85.847,85.829,85.844,85.863,85.881,85.863,85.878
2017/01/23 07:53:00,85.844,85.85,85.829,85.845,85.878,85.882,85.863,85.877
2017/01/23 07:54:00,85.845,85.848,85.842,85.846,85.877,85.882,85.874,85.879
2017/01/23 07:55:00,85.846,85.847,85.84,85.847,85.879,85.88,85.873,85.88
2017/01/23 07:56:00,85.847,85.847,85.827,85.829,85.88,85.88,85.861,85.862
2017/01/23 07:57:00,85.829,85.844,85.826,85.834,85.862,85.878,85.844,85.868
2017/01/23 07:58:00,85.834,85.84,85.827,85.827,85.868,85.872,85.861,85.861
2017/01/23 07:59:00,85.827,85.836,85.822,85.827,85.861,85.869,85.856,85.861
2017/01/23 08:00:00,85.827,85.833,85.801,85.81,85.861,85.861,85.818,85.827
2017/01/23 08:01:00,85.81,85.816,85.801,85.808,85.827,85.836,85.819,85.825
2017/01/23 08:02:00,85.808,85.823,85.798,85.799,85.825,85.84,85.815,85.816
2017/01/23 08:03:00,85.799,85.827,85.797,85.824,85.816,85.844,85.814,85.841
2017/01/23 08:04:00,85.824,85.826,85.801,85.802,85.841,85.843,85.818,85.819
2017/01/23 08:05:00,85.802,85.825,85.802,85.819,85.819,85.842,85.819,85.836
2017/01/23 08:06:00,85.819,85.838,85.819,85.836,85.836,85.855,85.836,85.853
2017/01/23 08:07:00,85.836,85.836,85.77,85.771,85.853,85.853,85.787,85.788
2017/01/23 08:08:00,85.771,85.795,85.771,85.776,85.788,85.812,85.788,85.793
2017/01/23 08:09:00,85.776,85.796,85.768,85.796,85.793,85.813,85.785,85.813
2017/01/23 08:10:00,85.796,85.807,85.786,85.789,85.813,85.824,85.803,85.806
2017/01/23 08:11:00,85.789,85.802,85.7,85.773,85.806,85.819,85.717,85.79
2017/01/23 08:12:00,85.773,85.784,85.748,85.752,85.79,85.801,85.765,85.769
2017/01/23 08:13:00,85.752,85.778,85.75,85.774,85.769,85.795,85.767,85.791
2017/01/23 08:14:00,85.774,85.774,85.75,85.75,85.791,85.791,85.767,85.767
2017/01/23 08:15:00,85.75,85.753,85.738,85.753,85.767,85.77,85.755,85.77
2017/01/23 08:16:00,85.753,85.779,85.743,85.743,85.77,85.796,85.76,85.76
2017/01/23 08:17:00,85.743,85.751,85.74,85.751,85.76,85.768,85.757,85.768
2017/01/23 08:18:00,85.751,85.759,85.725,85.732,85.768,85.776,85.742,85.749
2017/01/23 08:19:00,85.732,85.736,85.699,85.71,85.749,85.753,85.716,85.727
2017/01/23 08:20:00,85.71,85.731,85.699,85.724,85.727,85.748,85.716,85.741
2017/01/23 08:21:00,85.724,85.724,85.709,85.721,85.741,85.741,85.726,85.738
2017/01/23 08:22:00,85.721,85.721,85.669,85.677,85.738,85.738,85.686,85.694
2017/01/23 08:23:00,85.677,85.677,85.511,85.573,85.694,85.694,85.528,85.59
2017/01/23 08:24:00,85.573,85.621,85.573,85.609,85.59,85.638,85.59,85.626
2017/01/23 08:25:00,85.609,85.665,85.602,85.641,85.626,85.682,85.619,85.658
2017/01/23 08:26:00,85.641,85.644,85.601,85.624,85.658,85.661,85.618,85.641
2017/01/23 08:27:00,85.624,85.634,85.566,85.586,85.641,85.651,85.583,85.603
2017/01/23 08:28:00,85.586,85.595,85.574,85.591,85.603,85.612,85.591,85.608
2017/01/23 08:29:00,85.591,85.593,85.533,85.533,85.608,85.61,85.55,85.55
2017/01/23 08:30:00,85.533,85.556,85.531,85.539,85.55,85.573,85.548,85.556
2017/01/23 08:31:00,85.539,85.542,85.493,85.54,85.556,85.559,85.51,85.557
2017/01/23 08:32:00,85.54,85.56,85.534,85.553,85.557,85.577,85.551,85.57
2017/01/23 08:33:00,85.553,85.591,85.55,85.586,85.57,85.608,85.567,85.603
2017/01/23 08:34:00,85.586,85.595,85.56,85.563,85.603,85.612,85.577,85.58
2017/01/23 08:35:00,85.563,85.573,85.56,85.565,85.58,85.59,85.577,85.582
2017/01/23 08:36:00,85.565,85.586,85.565,85.585,85.582,85.603,85.582,85.602
2017/01/23 08:37:00,85.585,85.601,85.582,85.588,85.602,85.618,85.599,85.605
2017/01/23 08:38:00,85.588,85.588,85.573,85.579,85.605,85.605,85.59,85.596
2017/01/23 08:39:00,85.579,85.606,85.576,85.597,85.596,85.623,85.593,85.614
2017/01/23 08:40:00,85.597,85.604,85.587,85.589,85.614,85.621,85.604,85.606
2017/01/23 08:41:00,85.589,85.59,85.553,85.554,85.606,85.607,85.57,85.571
2017/01/23 08:42:00,85.554,85.567,85.547,85.559,85.571,85.584,85.564,85.576
2017/01/23 08:43:00,85.559,85.561,85.519,85.519,85.576,85.578,85.536,85.536
2017/01/23 08:44:00,85.519,85.55,85.517,85.544,85.536,85.567,85.534,85.561
2017/01/23 08:45:00,85.544,85.545,85.511,85.523,85.561,85.562,85.528,85.54
2017/01/23 08:46:00,85.523,85.523,85.483,85.506,85.54,85.54,85.5,85.523
2017/01/23 08:47:00,85.506,85.533,85.506,85.528,85.523,85.55,85.523,85.545
2017/01/23 08:48:00,85.528,85.538,85.511,85.533,85.545,85.555,85.528,85.55
2017/01/23 08:49:00,85.533,85.558,85.519,85.554,85.55,85.575,85.536,85.571
2017/01/23 08:50:00,85.554,85.555,85.545,85.553,85.571,85.572,85.562,85.57
2017/01/23 08:51:00,85.553,85.554,85.527,85.535,85.57,85.571,85.544,85.552
2017/01/23 08:52:00,85.535,85.536,85.505,85.506,85.552,85.553,85.522,85.523
2017/01/23 08:53:00,85.506,85.542,85.506,85.533,85.523,85.559,85.523,85.55
2017/01/23 08:54:00,85.533,85.553,85.533,85.552,85.55,85.57,85.55,85.569
2017/01/23 08:55:00,85.552,85.552,85.487,85.493,85.569,85.569,85.504,85.51
2017/01/23 08:56:00,85.493,85.53,85.493,85.525,85.51,85.547,85.51,85.542
2017/01/23 08:57:00,85.525,85.528,85.507,85.507,85.542,85.545,85.524,85.524
2017/01/23 08:58:00,85.507,85.54,85.504,85.54,85.524,85.557,85.521,85.557
2017/01/23 08:59:00,85.54,85.54,85.528,85.537,85.557,85.557,85.545,85.554
2017/01/23 09:00:00,85.537,85.571,85.531,85.568,85.554,85.588,85.548,85.585
2017/01/23 09:01:00,85.568,85.579,85.552,85.57,85.585,85.596,85.569,85.587
2017/01/23 09:02:00,85.57,85.596,85.569,85.593,85.587,85.613,85.586,85.61
2017/01/23 09:03:00,85.593,85.596,85.559,85.559,85.61,85.613,85.576,85.576
2017/01/23 09:04:00,85.559,85.568,85.553,85.554,85.576,85.585,85.57,85.571
2017/01/23 09:05:00,85.554,85.556,85.499,85.508,85.571,85.573,85.516,85.525
2017/01/23 09:06:00,85.508,85.513,85.49,85.511,85.525,85.53,85.507,85.528
2017/01/23 09:07:00,85.511,85.533,85.505,85.529,85.528,85.55,85.522,85.546
2017/01/23 09:08:00,85.529,85.542,85.528,85.539,85.546,85.559,85.545,85.556
2017/01/23 09:09:00,85.539,85.55,85.535,85.536,85.556,85.567,85.552,85.553
2017/01/23 09:10:00,85.536,85.536,85.48,85.487,85.553,85.553,85.497,85.504
2017/01/23 09:11:00,85.487,85.533,85.47,85.527,85.504,85.55,85.487,85.544
2017/01/23 09:12:00,85.527,85.548,85.526,85.538,85.544,85.565,85.543,85.555
2017/01/23 09:13:00,85.538,85.548,85.538,85.546,85.555,85.565,85.555,85.563
2017/01/23 09:14:00,85.546,85.561,85.543,85.549,85.563,85.578,85.56,85.566
2017/01/23 09:15:00,85.549,85.573,85.543,85.566,85.566,85.59,85.56,85.583
2017/01/23 09:16:00,85.566,85.571,85.555,85.569,85.583,85.588,85.572,85.586
2017/01/23 09:17:00,85.569,85.569,85.544,85.556,85.586,85.586,85.561,85.573
2017/01/23 09:18:00,85.556,85.56,85.547,85.554,85.573,85.577,85.564,85.571
2017/01/23 09:19:00,85.554,85.569,85.553,85.553,85.571,85.586,85.57,85.57
2017/01/23 09:20:00,85.553,85.56,85.533,85.539,85.57,85.577,85.55,85.556
2017/01/23 09:21:00,85.539,85.551,85.522,85.55,85.556,85.568,85.539,85.567
2017/01/23 09:22:00,85.55,85.576,85.549,85.569,85.567,85.593,85.566,85.586
2017/01/23 09:23:00,85.569,85.569,85.554,85.557,85.586,85.586,85.571,85.574
2017/01/23 09:24:00,85.557,85.563,85.54,85.54,85.574,85.58,85.557,85.557
2017/01/23 09:25:00,85.54,85.561,85.532,85.552,85.557,85.578,85.549,85.569
2017/01/23 09:26:00,85.552,85.553,85.531,85.54,85.569,85.57,85.548,85.557
2017/01/23 09:27:00,85.54,85.574,85.54,85.574,85.557,85.591,85.557,85.591
2017/01/23 09:28:00,85.574,85.595,85.574,85.593,85.591,85.612,85.591,85.61
2017/01/23 09:29:00,85.593,85.601,85.577,85.597,85.61,85.618,85.594,85.614
2017/01/23 09:30:00,85.597,85.598,85.576,85.59,85.614,85.615,85.593,85.607
2017/01/23 09:31:00,85.59,85.602,85.579,85.582,85.607,85.619,85.596,85.599
2017/01/23 09:32:00,85.582,85.591,85.581,85.588,85.599,85.608,85.598,85.605
2017/01/23 09:33:00,85.588,85.611,85.579,85.582,85.605,85.628,85.596,85.599
2017/01/23 09:34:00,85.582,85.589,85.579,85.587,85.599,85.606,85.596,85.604
2017/01/23 09:35:00,85.587,85.587,85.573,85.576,85.604,85.604,85.59,85.593
2017/01/23 09:36:00,85.576,85.584,85.559,85.574,85.593,85.601,85.576,85.591
2017/01/23 09:37:00,85.574,85.585,85.558,85.559,85.591,85.602,85.575,85.576
