日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/18 07:00:00,86.329,86.332,86.296,86.296,86.369,86.386,86.358,86.386
2017/01/18 07:01:00,86.296,86.307,86.283,86.295,86.386,86.397,86.373,86.385
2017/01/18 07:02:00,86.295,86.308,86.295,86.308,86.385,86.398,86.385,86.398
2017/01/18 07:03:00,86.308,86.336,86.301,86.318,86.398,86.404,86.358,86.358
2017/01/18 07:04:00,86.318,86.318,86.279,86.291,86.358,86.369,86.331,86.331
2017/01/18 07:05:00,86.291,86.297,86.266,86.278,86.331,86.374,86.327,86.368
2017/01/18 07:06:00,86.278,86.283,86.273,86.274,86.368,86.373,86.363,86.364
2017/01/18 07:07:00,86.274,86.292,86.267,86.269,86.364,86.368,86.332,86.359
2017/01/18 07:08:00,86.269,86.296,86.264,86.296,86.359,86.361,86.329,86.336
2017/01/18 07:09:00,86.296,86.296,86.262,86.267,86.336,86.36,86.335,86.357
2017/01/18 07:10:00,86.267,86.309,86.267,86.308,86.357,86.359,86.321,86.325
2017/01/18 07:11:00,86.308,86.31,86.308,86.309,86.325,86.327,86.325,86.326
2017/01/18 07:12:00,86.309,86.31,86.308,86.308,86.326,86.327,86.325,86.325
2017/01/18 07:13:00,86.308,86.319,86.304,86.312,86.325,86.336,86.321,86.329
2017/01/18 07:14:00,86.312,86.314,86.304,86.314,86.329,86.331,86.321,86.331
2017/01/18 07:15:00,86.314,86.325,86.313,86.325,86.331,86.342,86.33,86.342
2017/01/18 07:16:00,86.325,86.337,86.312,86.337,86.342,86.354,86.329,86.354
2017/01/18 07:17:00,86.337,86.35,86.333,86.343,86.354,86.367,86.35,86.36
2017/01/18 07:18:00,86.343,86.356,86.335,86.335,86.36,86.373,86.352,86.352
2017/01/18 07:19:00,86.335,86.347,86.33,86.337,86.352,86.364,86.347,86.354
2017/01/18 07:20:00,86.337,86.366,86.337,86.359,86.354,86.383,86.354,86.376
