日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/12 07:00:00,85.854,85.854,85.804,85.808,85.914,85.914,85.875,85.903
2017/01/12 07:01:00,85.808,85.834,85.806,85.833,85.903,85.904,85.894,85.895
2017/01/12 07:02:00,85.833,85.843,85.833,85.843,85.895,85.903,85.895,85.903
2017/01/12 07:03:00,85.843,85.843,85.835,85.835,85.903,85.903,85.895,85.895
2017/01/12 07:04:00,85.835,85.836,85.831,85.831,85.895,85.896,85.891,85.891
2017/01/12 07:05:00,85.831,85.86,85.831,85.853,85.891,85.913,85.891,85.913
2017/01/12 07:06:00,85.853,85.853,85.815,85.831,85.913,85.913,85.86,85.891
2017/01/12 07:07:00,85.831,85.831,85.822,85.825,85.891,85.891,85.882,85.885
2017/01/12 07:08:00,85.825,85.825,85.8,85.8,85.885,85.885,85.866,85.871
2017/01/12 07:09:00,85.8,85.812,85.8,85.804,85.871,85.872,85.864,85.864
2017/01/12 07:10:00,85.804,85.844,85.797,85.816,85.864,85.874,85.817,85.868
2017/01/12 07:11:00,85.816,85.864,85.813,85.856,85.868,85.914,85.85,85.883
2017/01/12 07:12:00,85.856,85.89,85.856,85.879,85.883,85.904,85.883,85.904
2017/01/12 07:13:00,85.879,85.938,85.876,85.919,85.904,85.967,85.902,85.943
2017/01/12 07:14:00,85.919,85.934,85.878,85.883,85.943,85.959,85.912,85.958
2017/01/12 07:15:00,85.883,85.89,85.881,85.887,85.958,85.961,85.912,85.913
2017/01/12 07:16:00,85.887,85.919,85.883,85.915,85.913,85.948,85.906,85.939
2017/01/12 07:17:00,85.915,85.96,85.907,85.959,85.939,86.029,85.93,86.029
2017/01/12 07:18:00,85.959,85.97,85.827,85.856,86.029,86.034,85.88,85.917
2017/01/12 07:19:00,85.856,85.936,85.853,85.894,85.917,85.995,85.887,85.96
2017/01/12 07:20:00,85.894,85.917,85.877,85.914,85.96,85.985,85.919,85.972
2017/01/12 07:21:00,85.914,85.925,85.876,85.886,85.972,85.984,85.943,85.946
2017/01/12 07:22:00,85.886,85.924,85.883,85.918,85.946,85.988,85.946,85.987
2017/01/12 07:23:00,85.918,85.92,85.915,85.915,85.987,85.989,85.985,85.985
2017/01/12 07:24:00,85.915,85.934,85.915,85.934,85.985,86.006,85.985,85.991
2017/01/12 07:25:00,85.934,85.938,85.929,85.931,85.991,86,85.983,85.987
2017/01/12 07:26:00,85.931,85.933,85.907,85.908,85.987,85.993,85.968,85.975
2017/01/12 07:27:00,85.908,85.933,85.907,85.932,85.975,85.986,85.974,85.986
2017/01/12 07:28:00,85.932,85.942,85.917,85.925,85.986,85.997,85.959,85.986
2017/01/12 07:29:00,85.925,85.935,85.913,85.919,85.986,85.992,85.942,85.979
2017/01/12 07:30:00,85.919,85.946,85.917,85.943,85.979,85.999,85.962,85.967
2017/01/12 07:31:00,85.943,85.951,85.925,85.934,85.967,85.976,85.949,85.958
2017/01/12 07:32:00,85.934,85.955,85.925,85.929,85.958,85.975,85.949,85.953
2017/01/12 07:33:00,85.929,85.945,85.928,85.929,85.953,85.969,85.953,85.953
2017/01/12 07:34:00,85.929,85.934,85.904,85.92,85.953,85.953,85.928,85.945
2017/01/12 07:35:00,85.92,85.933,85.898,85.911,85.945,85.958,85.917,85.937
2017/01/12 07:36:00,85.911,85.928,85.891,85.928,85.937,85.944,85.916,85.935
2017/01/12 07:37:00,85.928,85.941,85.905,85.908,85.935,85.954,85.93,85.931
2017/01/12 07:38:00,85.908,85.924,85.901,85.91,85.931,85.943,85.925,85.934
2017/01/12 07:39:00,85.91,85.916,85.905,85.905,85.934,85.94,85.929,85.929
2017/01/12 07:40:00,85.905,85.937,85.897,85.915,85.929,85.955,85.92,85.938
2017/01/12 07:41:00,85.915,85.935,85.891,85.914,85.938,85.942,85.909,85.921
2017/01/12 07:42:00,85.914,85.924,85.895,85.919,85.921,85.931,85.918,85.926
