日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/27 07:00:00,122.283,122.322,122.277,122.279,122.393,122.393,122.343,122.376
2017/01/27 07:01:00,122.279,122.296,122.279,122.294,122.376,122.385,122.372,122.383
2017/01/27 07:02:00,122.294,122.304,122.281,122.295,122.383,122.392,122.365,122.365
2017/01/27 07:03:00,122.295,122.326,122.292,122.293,122.365,122.388,122.355,122.356
2017/01/27 07:04:00,122.293,122.307,122.284,122.284,122.356,122.396,122.356,122.394
2017/01/27 07:05:00,122.284,122.321,122.252,122.321,122.394,122.418,122.343,122.418
2017/01/27 07:06:00,122.321,122.347,122.275,122.297,122.418,122.439,122.369,122.388
2017/01/27 07:07:00,122.297,122.325,122.263,122.317,122.388,122.416,122.355,122.409
2017/01/27 07:08:00,122.317,122.325,122.281,122.298,122.409,122.418,122.391,122.402
2017/01/27 07:09:00,122.298,122.322,122.298,122.322,122.402,122.412,122.401,122.405
2017/01/27 07:10:00,122.322,122.343,122.322,122.339,122.405,122.432,122.405,122.428
2017/01/27 07:11:00,122.339,122.348,122.325,122.333,122.428,122.435,122.419,122.427
2017/01/27 07:12:00,122.333,122.362,122.313,122.361,122.427,122.427,122.351,122.367
2017/01/27 07:13:00,122.361,122.452,122.34,122.449,122.367,122.486,122.358,122.455
2017/01/27 07:14:00,122.449,122.449,122.349,122.352,122.455,122.496,122.387,122.424
2017/01/27 07:15:00,122.352,122.382,122.342,122.381,122.424,122.462,122.419,122.456
2017/01/27 07:16:00,122.381,122.435,122.38,122.419,122.456,122.472,122.425,122.425
2017/01/27 07:17:00,122.419,122.42,122.334,122.35,122.425,122.454,122.373,122.441
2017/01/27 07:18:00,122.35,122.417,122.35,122.413,122.441,122.456,122.407,122.419
2017/01/27 07:19:00,122.413,122.417,122.356,122.36,122.419,122.455,122.388,122.439
2017/01/27 07:20:00,122.36,122.391,122.328,122.341,122.439,122.439,122.365,122.409
2017/01/27 07:21:00,122.341,122.364,122.327,122.361,122.409,122.455,122.362,122.442
2017/01/27 07:22:00,122.361,122.371,122.336,122.358,122.442,122.462,122.428,122.444
2017/01/27 07:23:00,122.358,122.374,122.35,122.362,122.444,122.465,122.425,122.452
2017/01/27 07:24:00,122.362,122.383,122.358,122.368,122.452,122.469,122.447,122.456
2017/01/27 07:25:00,122.368,122.418,122.326,122.326,122.456,122.472,122.415,122.418
2017/01/27 07:26:00,122.326,122.328,122.286,122.324,122.418,122.419,122.321,122.33
2017/01/27 07:27:00,122.324,122.356,122.283,122.34,122.33,122.428,122.33,122.415
2017/01/27 07:28:00,122.34,122.341,122.309,122.335,122.415,122.415,122.345,122.41
2017/01/27 07:29:00,122.335,122.418,122.328,122.346,122.41,122.457,122.395,122.417
2017/01/27 07:30:00,122.346,122.371,122.318,122.322,122.417,122.427,122.369,122.393
2017/01/27 07:31:00,122.322,122.391,122.32,122.382,122.393,122.411,122.364,122.388
2017/01/27 07:32:00,122.382,122.383,122.324,122.331,122.388,122.421,122.375,122.397
2017/01/27 07:33:00,122.331,122.385,122.322,122.339,122.397,122.433,122.358,122.406
2017/01/27 07:34:00,122.339,122.387,122.334,122.355,122.406,122.46,122.402,122.438
2017/01/27 07:35:00,122.355,122.36,122.328,122.334,122.438,122.441,122.407,122.408
2017/01/27 07:36:00,122.334,122.373,122.325,122.342,122.408,122.456,122.402,122.427
2017/01/27 07:37:00,122.342,122.348,122.295,122.344,122.427,122.431,122.382,122.42
2017/01/27 07:38:00,122.344,122.346,122.306,122.307,122.42,122.425,122.344,122.382
2017/01/27 07:39:00,122.307,122.345,122.282,122.285,122.382,122.389,122.348,122.366
2017/01/27 07:40:00,122.285,122.328,122.28,122.306,122.366,122.424,122.363,122.381
2017/01/27 07:41:00,122.306,122.328,122.291,122.299,122.381,122.418,122.365,122.376
2017/01/27 07:42:00,122.299,122.299,122.267,122.269,122.376,122.376,122.342,122.342
2017/01/27 07:43:00,122.269,122.316,122.257,122.309,122.342,122.399,122.333,122.395
2017/01/27 07:44:00,122.309,122.312,122.274,122.276,122.395,122.395,122.371,122.386
2017/01/27 07:45:00,122.276,122.28,122.266,122.267,122.386,122.39,122.355,122.355
2017/01/27 07:46:00,122.267,122.3,122.267,122.273,122.355,122.397,122.355,122.361
2017/01/27 07:47:00,122.273,122.281,122.272,122.277,122.361,122.364,122.359,122.363
2017/01/27 07:48:00,122.277,122.278,122.258,122.258,122.363,122.363,122.335,122.335
2017/01/27 07:49:00,122.258,122.264,122.258,122.263,122.335,122.337,122.331,122.334
2017/01/27 07:50:00,122.263,122.265,122.261,122.262,122.334,122.336,122.331,122.331
2017/01/27 07:51:00,122.262,122.265,122.233,122.254,122.331,122.334,122.271,122.321
2017/01/27 07:52:00,122.254,122.311,122.254,122.301,122.321,122.339,122.29,122.307
2017/01/27 07:53:00,122.301,122.311,122.301,122.311,122.307,122.317,122.307,122.317
2017/01/27 07:54:00,122.311,122.311,122.296,122.31,122.317,122.317,122.302,122.316
2017/01/27 07:55:00,122.31,122.31,122.279,122.296,122.316,122.316,122.285,122.302
2017/01/27 07:56:00,122.296,122.313,122.29,122.299,122.302,122.319,122.296,122.305
2017/01/27 07:57:00,122.299,122.306,122.276,122.279,122.305,122.312,122.282,122.285
2017/01/27 07:58:00,122.279,122.295,122.278,122.295,122.285,122.301,122.284,122.301
2017/01/27 07:59:00,122.295,122.34,122.29,122.333,122.301,122.346,122.296,122.339
2017/01/27 08:00:00,122.333,122.358,122.3,122.349,122.339,122.39,122.336,122.355
2017/01/27 08:01:00,122.349,122.401,122.348,122.377,122.355,122.407,122.354,122.383
2017/01/27 08:02:00,122.377,122.386,122.363,122.363,122.383,122.392,122.369,122.369
2017/01/27 08:03:00,122.363,122.371,122.359,122.362,122.369,122.377,122.365,122.368
2017/01/27 08:04:00,122.362,122.371,122.361,122.369,122.368,122.377,122.367,122.375
2017/01/27 08:05:00,122.369,122.375,122.364,122.369,122.375,122.381,122.37,122.375
2017/01/27 08:06:00,122.369,122.371,122.356,122.356,122.375,122.377,122.362,122.362
2017/01/27 08:07:00,122.356,122.362,122.352,122.362,122.362,122.368,122.358,122.368
2017/01/27 08:08:00,122.362,122.394,122.362,122.382,122.368,122.4,122.368,122.388
2017/01/27 08:09:00,122.382,122.402,122.381,122.393,122.388,122.408,122.387,122.399
2017/01/27 08:10:00,122.393,122.408,122.389,122.401,122.399,122.414,122.395,122.407
2017/01/27 08:11:00,122.401,122.403,122.348,122.355,122.407,122.409,122.354,122.361
2017/01/27 08:12:00,122.355,122.366,122.355,122.357,122.361,122.372,122.361,122.363
2017/01/27 08:13:00,122.357,122.377,122.35,122.361,122.363,122.383,122.356,122.367
2017/01/27 08:14:00,122.361,122.375,122.354,122.371,122.367,122.381,122.36,122.377
2017/01/27 08:15:00,122.371,122.377,122.367,122.377,122.377,122.383,122.373,122.383
2017/01/27 08:16:00,122.377,122.394,122.377,122.394,122.383,122.4,122.383,122.4
2017/01/27 08:17:00,122.394,122.394,122.377,122.392,122.4,122.4,122.383,122.398
2017/01/27 08:18:00,122.392,122.394,122.351,122.367,122.398,122.4,122.357,122.373
2017/01/27 08:19:00,122.367,122.383,122.363,122.374,122.373,122.389,122.369,122.38
2017/01/27 08:20:00,122.374,122.384,122.372,122.38,122.38,122.39,122.378,122.386
