日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/31 07:00:00,121.628,121.633,121.612,121.632,121.738,121.74,121.712,121.74
2017/01/31 07:01:00,121.632,121.639,121.627,121.636,121.74,121.741,121.721,121.724
2017/01/31 07:02:00,121.636,121.681,121.622,121.638,121.724,121.76,121.681,121.748
2017/01/31 07:03:00,121.638,121.642,121.637,121.642,121.748,121.752,121.747,121.752
2017/01/31 07:04:00,121.642,121.648,121.614,121.646,121.752,121.758,121.715,121.756
2017/01/31 07:05:00,121.646,121.668,121.637,121.662,121.756,121.765,121.742,121.764
2017/01/31 07:06:00,121.662,121.68,121.64,121.648,121.764,121.764,121.724,121.724
2017/01/31 07:07:00,121.648,121.666,121.644,121.649,121.724,121.751,121.717,121.725
2017/01/31 07:08:00,121.649,121.661,121.648,121.656,121.725,121.758,121.721,121.754
2017/01/31 07:09:00,121.656,121.66,121.653,121.655,121.754,121.758,121.747,121.752
2017/01/31 07:10:00,121.655,121.669,121.64,121.651,121.752,121.754,121.715,121.739
2017/01/31 07:11:00,121.651,121.651,121.636,121.636,121.739,121.74,121.732,121.735
2017/01/31 07:12:00,121.636,121.673,121.632,121.636,121.735,121.735,121.675,121.715
2017/01/31 07:13:00,121.636,121.679,121.634,121.679,121.715,121.737,121.685,121.685
2017/01/31 07:14:00,121.679,121.679,121.63,121.667,121.685,121.717,121.671,121.673
2017/01/31 07:15:00,121.667,121.674,121.64,121.643,121.673,121.712,121.673,121.712
2017/01/31 07:16:00,121.643,121.674,121.632,121.663,121.712,121.712,121.668,121.669
2017/01/31 07:17:00,121.663,121.668,121.662,121.666,121.669,121.674,121.668,121.672
2017/01/31 07:18:00,121.666,121.702,121.665,121.697,121.672,121.708,121.671,121.703
2017/01/31 07:19:00,121.697,121.705,121.682,121.682,121.703,121.711,121.688,121.688
2017/01/31 07:20:00,121.682,121.689,121.663,121.668,121.688,121.695,121.669,121.674
2017/01/31 07:21:00,121.668,121.687,121.661,121.682,121.674,121.693,121.667,121.688
2017/01/31 07:22:00,121.682,121.684,121.68,121.681,121.688,121.69,121.686,121.687
2017/01/31 07:23:00,121.681,121.694,121.675,121.682,121.687,121.7,121.681,121.688
2017/01/31 07:24:00,121.682,121.691,121.677,121.679,121.688,121.697,121.683,121.685
