日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/30 07:00:00,86.696,86.732,86.694,86.728,86.826,86.862,86.824,86.858
2017/01/30 07:01:00,86.728,86.759,86.721,86.743,86.858,86.889,86.851,86.873
2017/01/30 07:02:00,86.743,86.759,86.736,86.737,86.873,86.889,86.866,86.867
2017/01/30 07:03:00,86.737,86.749,86.733,86.741,86.867,86.879,86.863,86.871
2017/01/30 07:04:00,86.741,86.781,86.741,86.763,86.871,86.881,86.85,86.863
2017/01/30 07:05:00,86.763,86.795,86.76,86.795,86.863,86.892,86.86,86.892
2017/01/30 07:06:00,86.795,86.803,86.783,86.783,86.892,86.901,86.869,86.869
2017/01/30 07:07:00,86.783,86.794,86.78,86.793,86.869,86.891,86.865,86.89
2017/01/30 07:08:00,86.793,86.818,86.789,86.812,86.89,86.91,86.887,86.91
2017/01/30 07:09:00,86.812,86.844,86.804,86.804,86.91,86.936,86.901,86.901
2017/01/30 07:10:00,86.804,86.815,86.756,86.756,86.901,86.906,86.841,86.841
2017/01/30 07:11:00,86.756,86.77,86.756,86.762,86.841,86.861,86.841,86.854
2017/01/30 07:12:00,86.762,86.766,86.751,86.753,86.854,86.857,86.84,86.851
2017/01/30 07:13:00,86.753,86.778,86.75,86.771,86.851,86.871,86.847,86.869
2017/01/30 07:14:00,86.771,86.794,86.771,86.794,86.869,86.888,86.866,86.883
2017/01/30 07:15:00,86.794,86.797,86.769,86.783,86.883,86.886,86.862,86.871
2017/01/30 07:16:00,86.783,86.784,86.754,86.755,86.871,86.871,86.837,86.853
2017/01/30 07:17:00,86.755,86.792,86.755,86.784,86.853,86.889,86.851,86.877
2017/01/30 07:18:00,86.784,86.792,86.778,86.782,86.877,86.88,86.859,86.865
2017/01/30 07:19:00,86.782,86.788,86.768,86.768,86.865,86.869,86.847,86.862
2017/01/30 07:20:00,86.768,86.776,86.763,86.765,86.862,86.872,86.855,86.857
2017/01/30 07:21:00,86.765,86.767,86.748,86.75,86.857,86.863,86.845,86.847
2017/01/30 07:22:00,86.75,86.756,86.735,86.735,86.847,86.852,86.829,86.829
2017/01/30 07:23:00,86.735,86.746,86.725,86.746,86.829,86.83,86.797,86.807
2017/01/30 07:24:00,86.746,86.746,86.731,86.739,86.807,86.807,86.793,86.8
2017/01/30 07:25:00,86.739,86.755,86.727,86.742,86.8,86.816,86.789,86.804
2017/01/30 07:26:00,86.742,86.754,86.738,86.751,86.804,86.813,86.799,86.811
2017/01/30 07:27:00,86.751,86.756,86.714,86.755,86.811,86.818,86.775,86.817
2017/01/30 07:28:00,86.755,86.778,86.745,86.775,86.817,86.839,86.806,86.837
2017/01/30 07:29:00,86.775,86.783,86.769,86.781,86.837,86.844,86.831,86.842
2017/01/30 07:30:00,86.781,86.796,86.778,86.79,86.842,86.857,86.84,86.851
2017/01/30 07:31:00,86.79,86.79,86.769,86.779,86.851,86.851,86.83,86.841
2017/01/30 07:32:00,86.779,86.784,86.767,86.778,86.841,86.846,86.829,86.84
2017/01/30 07:33:00,86.778,86.799,86.778,86.785,86.84,86.86,86.84,86.847
2017/01/30 07:34:00,86.785,86.785,86.749,86.771,86.847,86.847,86.811,86.833
2017/01/30 07:35:00,86.771,86.782,86.759,86.762,86.833,86.843,86.82,86.824
2017/01/30 07:36:00,86.762,86.786,86.76,86.769,86.824,86.842,86.822,86.831
2017/01/30 07:37:00,86.769,86.791,86.766,86.781,86.831,86.851,86.827,86.843
2017/01/30 07:38:00,86.781,86.816,86.778,86.812,86.843,86.848,86.807,86.839
2017/01/30 07:39:00,86.812,86.824,86.786,86.797,86.839,86.861,86.832,86.851
2017/01/30 07:40:00,86.797,86.805,86.79,86.794,86.851,86.863,86.85,86.854
2017/01/30 07:41:00,86.794,86.834,86.794,86.804,86.854,86.867,86.848,86.86
