日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2017/01/25 07:00:00,86.214,86.25,86.204,86.25,86.338,86.35,86.284,86.323
2017/01/25 07:01:00,86.25,86.253,86.228,86.234,86.323,86.333,86.294,86.294
2017/01/25 07:02:00,86.234,86.252,86.234,86.242,86.294,86.324,86.294,86.302
2017/01/25 07:03:00,86.242,86.271,86.24,86.269,86.302,86.334,86.3,86.331
2017/01/25 07:04:00,86.269,86.272,86.261,86.261,86.331,86.332,86.302,86.329
2017/01/25 07:05:00,86.261,86.267,86.243,86.258,86.329,86.329,86.308,86.322
2017/01/25 07:06:00,86.258,86.264,86.245,86.259,86.322,86.326,86.305,86.326
2017/01/25 07:07:00,86.259,86.259,86.253,86.258,86.326,86.332,86.322,86.323
2017/01/25 07:08:00,86.258,86.258,86.243,86.243,86.323,86.326,86.312,86.314
2017/01/25 07:09:00,86.243,86.243,86.233,86.242,86.314,86.314,86.3,86.311
2017/01/25 07:10:00,86.242,86.246,86.24,86.24,86.311,86.315,86.31,86.313
2017/01/25 07:11:00,86.24,86.245,86.235,86.244,86.313,86.322,86.307,86.317
2017/01/25 07:12:00,86.244,86.247,86.238,86.243,86.317,86.321,86.315,86.32
2017/01/25 07:13:00,86.243,86.272,86.243,86.258,86.32,86.345,86.316,86.337
2017/01/25 07:14:00,86.258,86.26,86.241,86.257,86.337,86.337,86.318,86.334
2017/01/25 07:15:00,86.257,86.305,86.257,86.274,86.334,86.358,86.311,86.349
2017/01/25 07:16:00,86.274,86.28,86.253,86.258,86.349,86.352,86.325,86.328
2017/01/25 07:17:00,86.258,86.264,86.255,86.263,86.328,86.339,86.328,86.336
2017/01/25 07:18:00,86.263,86.287,86.25,86.253,86.336,86.341,86.293,86.314
2017/01/25 07:19:00,86.253,86.258,86.244,86.249,86.314,86.318,86.306,86.311
2017/01/25 07:20:00,86.249,86.249,86.24,86.241,86.311,86.314,86.298,86.299
2017/01/25 07:21:00,86.241,86.268,86.241,86.247,86.299,86.305,86.274,86.3
2017/01/25 07:22:00,86.247,86.248,86.245,86.247,86.3,86.305,86.3,86.303
2017/01/25 07:23:00,86.247,86.277,86.239,86.277,86.303,86.304,86.27,86.284
2017/01/25 07:24:00,86.277,86.285,86.259,86.261,86.284,86.326,86.281,86.326
2017/01/25 07:25:00,86.261,86.282,86.246,86.262,86.326,86.326,86.282,86.316
2017/01/25 07:26:00,86.262,86.3,86.246,86.246,86.316,86.331,86.295,86.312
2017/01/25 07:27:00,86.246,86.254,86.245,86.247,86.312,86.316,86.31,86.315
2017/01/25 07:28:00,86.247,86.255,86.245,86.248,86.315,86.331,86.315,86.32
2017/01/25 07:29:00,86.248,86.266,86.245,86.263,86.32,86.328,86.319,86.325
2017/01/25 07:30:00,86.263,86.264,86.245,86.247,86.325,86.326,86.316,86.317
2017/01/25 07:31:00,86.247,86.248,86.245,86.246,86.317,86.319,86.317,86.319
2017/01/25 07:32:00,86.246,86.248,86.244,86.246,86.319,86.319,86.316,86.318
2017/01/25 07:33:00,86.246,86.253,86.22,86.235,86.318,86.325,86.285,86.291
2017/01/25 07:34:00,86.235,86.278,86.235,86.27,86.291,86.306,86.268,86.295
2017/01/25 07:35:00,86.27,86.302,86.255,86.301,86.295,86.338,86.277,86.326
2017/01/25 07:36:00,86.301,86.301,86.255,86.264,86.326,86.351,86.316,86.318
2017/01/25 07:37:00,86.264,86.3,86.261,86.299,86.318,86.341,86.304,86.322
2017/01/25 07:38:00,86.299,86.326,86.292,86.307,86.322,86.371,86.303,86.366
2017/01/25 07:39:00,86.307,86.345,86.298,86.324,86.366,86.385,86.347,86.347
2017/01/25 07:40:00,86.324,86.324,86.296,86.318,86.347,86.383,86.329,86.383
2017/01/25 07:41:00,86.318,86.352,86.316,86.321,86.383,86.397,86.358,86.386
2017/01/25 07:42:00,86.321,86.329,86.316,86.318,86.386,86.391,86.353,86.391
2017/01/25 07:43:00,86.318,86.331,86.317,86.321,86.391,86.395,86.385,86.385
2017/01/25 07:44:00,86.321,86.321,86.305,86.316,86.385,86.385,86.333,86.377
2017/01/25 07:45:00,86.316,86.325,86.315,86.323,86.377,86.379,86.373,86.378
2017/01/25 07:46:00,86.323,86.351,86.321,86.329,86.378,86.385,86.352,86.385
2017/01/25 07:47:00,86.329,86.355,86.328,86.339,86.385,86.385,86.358,86.365
2017/01/25 07:48:00,86.339,86.359,86.336,86.339,86.365,86.368,86.362,86.364
2017/01/25 07:49:00,86.339,86.354,86.334,86.335,86.364,86.391,86.359,86.363
2017/01/25 07:50:00,86.335,86.36,86.33,86.359,86.363,86.392,86.36,86.366
2017/01/25 07:51:00,86.359,86.367,86.331,86.364,86.366,86.395,86.358,86.371
2017/01/25 07:52:00,86.364,86.364,86.322,86.352,86.371,86.382,86.35,86.359
2017/01/25 07:53:00,86.352,86.357,86.336,86.356,86.359,86.365,86.359,86.363
2017/01/25 07:54:00,86.356,86.362,86.335,86.362,86.363,86.394,86.361,86.369
2017/01/25 07:55:00,86.362,86.362,86.324,86.331,86.369,86.378,86.35,86.357
2017/01/25 07:56:00,86.331,86.352,86.328,86.334,86.357,86.38,86.354,86.361
2017/01/25 07:57:00,86.334,86.349,86.322,86.326,86.361,86.361,86.344,86.351
2017/01/25 07:58:00,86.326,86.345,86.317,86.32,86.351,86.352,86.34,86.343
